Script started on 2025-12-26 14:23:58+07:00 [TERM="xterm-256color" TTY="/dev/pts/3" COLUMNS="141" LINES="36"]
[?2004h]0;gpm@codeby: ~/lesson4[01;32mgpm@codeby[00m:[01;34m~/lesson4[00m$ ps aux [K
[?2004lUSER         PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root           1  0.0  0.3  24324 13976 ?        Ss   Dec25   0:04 /sbin/init
root         846  0.0  0.2 470076 10380 ?        Ssl  Dec25   0:01 /usr/libexec/udisks2/udisksd
root         847  0.0  0.2  20792  8144 ?        Ss   Dec25   0:00 /usr/bin/VGAuthService
root         860  0.1  0.2 253128  8680 ?        Ssl  Dec25   1:15 /usr/bin/vmtoolsd
avahi        862  0.0  0.0   6064  1072 ?        S    Dec25   0:00 avahi-daemon: chroot helper
root         917  0.0  0.0      0     0 ?        S    Dec25   0:00 [psimon]
root         922  0.0  0.3 336424 15696 ?        Ssl  Dec25   0:02 /usr/sbin/NetworkManager --no-daemon
root         927  0.0  0.0  17520  3912 ?        Ss   Dec25   0:00 /usr/sbin/wpa_supplicant -u -s -O DIR=/run/wpa_supplicant GROUP=netdev
root         948  0.0  0.1 390916  7196 ?        Ssl  Dec25   0:00 /usr/sbin/ModemManager
root        1225  0.0  0.2 310476  8108 ?        Ssl  Dec25   0:00 /usr/sbin/gdm3
rtkit       1278  0.0  0.0  21472  3060 ?        SNsl Dec25   0:00 /usr/libexec/rtkit-daemon
colord      1355  0.0  0.1 315824  7444 ?        Ssl  Dec25   0:00 /usr/libexec/colord
root        1403  0.0  0.2 318584  8176 ?        Ssl  Dec25   0:00 /usr/libexec/upowerd
root        1696  0.0  0.1 309232  6384 ?        Ssl  Dec25   0:00 /usr/libexec/power-profiles-daemon
root        1778  0.0  0.2 387400 10432 ?        Sl   Dec25   0:00 gdm-session-worker [pam/gdm-password]
gpm         1799  0.0  0.2  23372 11564 ?        Ss   Dec25   0:00 /usr/lib/systemd/systemd --user
gpm         1801  0.0  0.0  24652  1988 ?        S    Dec25   0:00 (sd-pam)
gpm         1821  0.0  0.1   9848  6384 ?        Ss   Dec25   0:02 /usr/bin/dbus-daemon --session --address=systemd: --nofork --nopidfile --s
gpm         1822  0.0  0.2 102920  9532 ?        S<sl Dec25   0:02 /usr/bin/pipewire
gpm         1824  0.0  0.0  84692  3232 ?        Ssl  Dec25   0:00 /usr/bin/pipewire -c filter-chain.conf
gpm         1825  0.0  0.4 717880 16608 ?        S<sl Dec25   0:02 /usr/bin/wireplumber
gpm         1826  0.0  0.2 170888 11376 ?        S<sl Dec25   0:01 /usr/bin/pipewire-pulse
gpm         1827  0.0  0.2 183088  8816 ?        SLsl Dec25   0:00 /usr/bin/gnome-keyring-daemon --foreground --components=pkcs11,secrets --c
gpm         1828  0.0  0.0   7228  3376 ?        Ss   Dec25   0:00 /usr/bin/mpris-proxy
gpm         1860  0.0  0.1 168164  5668 tty2     Ssl+ Dec25   0:00 /usr/libexec/gdm-wayland-session /usr/bin/gnome-session
gpm         1867  0.0  0.2 268380  9840 tty2     Sl+  Dec25   0:00 /usr/libexec/gnome-session-binary
gpm         1910  0.0  0.1  97304  6100 ?        Ssl  Dec25   0:00 /usr/libexec/gcr-ssh-agent --base-dir /run/user/1000/gcr
gpm         1911  0.0  0.1  87212  4804 ?        Ssl  Dec25   0:00 /usr/libexec/gnome-session-ctl --monitor
gpm         1912  0.0  0.1  10532  5880 ?        Ss   Dec25   0:00 /usr/bin/ssh-agent -D
gpm         1922  0.0  0.1 312720  7256 ?        Ssl  Dec25   0:00 /usr/libexec/gvfsd
gpm         1930  0.0  0.1 398352  6612 ?        Sl   Dec25   0:00 /usr/libexec/gvfsd-fuse /run/user/1000/gvfs -f
gpm         1932  0.0  0.2 482176 10800 ?        Ssl  Dec25   0:00 /usr/libexec/gnome-session-binary --systemd-service --session=gnome
gpm         1965  0.8  6.7 4855632 267728 ?      Ssl  Dec25  10:41 /usr/bin/gnome-shell
gpm         1967  0.0  0.1 381188  6628 ?        Sl   Dec25   0:00 /usr/libexec/at-spi-bus-launcher --launch-immediately
gpm         1978  0.0  0.1   8324  4428 ?        S    Dec25   0:00 /usr/bin/dbus-daemon --config-file=/usr/share/defaults/at-spi2/accessibili
gpm         2000  0.0  0.1 168800  6224 ?        Sl   Dec25   0:00 /usr/libexec/at-spi2-registryd --use-gnome-session
gpm         2013  0.0  0.1 308840  6200 ?        Ssl  Dec25   0:00 /usr/libexec/xdg-permission-store
gpm         2014  0.0  0.3 662732 12420 ?        Sl   Dec25   0:00 /usr/libexec/gnome-shell-calendar-server
gpm         2037  0.0  0.6 1366688 26160 ?       Ssl  Dec25   0:00 /usr/libexec/evolution-source-registry
gpm         2039  0.0  0.3 2731128 13868 ?       Sl   Dec25   0:00 /usr/bin/gjs -m /usr/share/gnome-shell/org.gnome.Shell.Notifications
gpm         2044  0.0  0.2 385608  9664 ?        Ssl  Dec25   1:10 /usr/bin/ibus-daemon --panel disable
gpm         2045  0.0  0.1 242360  6316 ?        Ssl  Dec25   0:00 /usr/libexec/gsd-a11y-settings
gpm         2047  0.0  0.2 407968 11056 ?        Ssl  Dec25   0:00 /usr/libexec/gsd-color
gpm         2048  0.0  0.1 253752  7832 ?        Ssl  Dec25   0:00 /usr/libexec/gsd-datetime
gpm         2050  0.0  0.1 383432  7392 ?        Ssl  Dec25   0:01 /usr/libexec/gsd-housekeeping
gpm         2051  0.0  0.2 406676 10780 ?        Ssl  Dec25   0:00 /usr/libexec/gsd-keyboard
gpm         2052  0.0  0.3 639284 13556 ?        Ssl  Dec25   0:00 /usr/libexec/gsd-media-keys
gpm         2053  0.0  0.3 483608 13512 ?        Ssl  Dec25   0:00 /usr/libexec/gsd-power
gpm         2054  0.0  0.2 320176 10204 ?        Ssl  Dec25   0:00 /usr/libexec/gsd-print-notifications
gpm         2058  0.0  0.1 455488  6428 ?        Ssl  Dec25   0:00 /usr/libexec/gsd-rfkill
gpm         2062  0.0  0.1 168348  5900 ?        Ssl  Dec25   0:00 /usr/libexec/gsd-screensaver-proxy
gpm         2066  0.0  0.2 465908  9764 ?        Ssl  Dec25   0:00 /usr/libexec/gsd-sharing
gpm         2074  0.0  0.1 457808  6868 ?        Ssl  Dec25   0:00 /usr/libexec/gsd-smartcard
gpm         2075  0.0  0.1 253228  7320 ?        Ssl  Dec25   0:00 /usr/libexec/gsd-sound
gpm         2076  0.0  0.1 464788  6596 ?        Ssl  Dec25   0:00 /usr/libexec/gsd-usb-protection
